gene,mean,variance,fraction_FPKM_ge_0_1
ACACB,0.4125324452517072,0.9613840404795219,1.0
ACAD10,2.012391450224825,0.18383534201261986,1.0
ACAD11,0.9178188107373534,0.39711733211407446,1.0
ACAD8,3.07501009825277,0.589903323593128,1.0
ACAD9,3.972089183738117,0.26397055619700743,1.0
ACADL,-1.5188542841875938,3.038659816614407,0.6133333333333333
ACADM,4.168082880085764,0.7036807091153313,1.0
ACADS,2.816400458568053,0.30365887688344206,1.0
ACADSB,1.2555229989922978,0.8045110782827039,1.0
ACADVL,5.908654258607129,0.276701882676784,1.0
ACAN,-0.4584010931056012,2.738253880309548,0.8977777777777778
ACAP1,1.8012686888505292,1.3634759795440876,1.0
ACAP2,2.9743657810286024,0.2324848601452902,1.0
ACAP3,3.07861794986978,0.35466562728721684,1.0
ACAT1,4.25553687063136,0.38355078389931446,1.0
ACAT2,3.5662207816998888,0.9310205725710252,1.0
ACBD3,4.599004232309681,0.17772191948516508,1.0
ACBD4,1.2833310768296273,0.32304797413406056,1.0
ACBD5,3.111434149443097,0.3064736138021954,1.0
ACBD6,4.494799364910591,0.27332417804083986,1.0
ACBD7,-0.06777340817390567,1.7586176953559487,0.9822222222222222
ACCS,1.0345720316106333,0.4938468787698807,1.0
ACCSL,-3.1089591795533216,0.12408689539577399,0.04888888888888889
ACD,2.92091922582484,0.2325420541599473,1.0
ACE,2.8038622182546753,0.48266379464351744,1.0
ACE2,-0.1751524178839624,6.070090625499857,0.88
ACER1,-2.4611771266365534,1.4835537292748229,0.27555555555555555
ACER2,0.16708502269558256,0.6698900377437902,1.0
ACER3,2.462927768814615,0.3864562460950298,1.0
ACHE,-0.2259137876354731,1.4129648053977124,0.9822222222222222
ACIN1,4.796307324838696,0.13747257216398082,1.0
ACKR2,0.3850654468520595,4.011882195138873,0.9555555555555556
ACKR3,3.1103609787202586,0.7742039029061134,1.0
ACKR4,0.36358300250854836,1.616290014162228,0.9688888888888889
ACLY,5.175571149565469,0.18157098691566342,1.0
ACMSD,-3.077765830099091,0.141561367254532,0.02666666666666667
ACN9,2.4391959009150197,0.6521294287010667,1.0
ACO1,3.4985006519637656,0.34865221498588195,1.0
ACO2,4.769837212344753,0.23073802651472233,1.0
ACOT1,1.474840731243873,0.7520524435372086,1.0
ACOT11,-0.014544787039091728,0.9339759262068849,1.0
ACOT12,-3.220124532032833,0.1553334063564749,0.022222222222222223
ACOT13,2.6973770523837928,0.20737228990203152,1.0
ACOT2,3.3088590151292245,0.43487359336050113,1.0
ACOT4,1.5300254752988236,1.194586031125484,1.0
ACOT6,-2.4113379966588404,1.084601469434832,0.3511111111111111
ACOT7,4.244655946708394,0.6318387458723774,1.0
ACOT8,3.675992725931965,0.19853173017796036,1.0
ACOT9,4.196465262519031,0.4007990923881721,1.0
ACOX1,3.1782921638977233,0.29987179159244576,1.0
ACOX2,0.04344655190579636,1.8263772447107343,0.9911111111111112
ACOX3,2.7606512874485523,0.6195234591409331,1.0
